2024-03-05 09:03:39,690: INFO  – Updating Generar...
2024-03-05 09:03:39,901: INFO  – success
2024-03-05 09:03:49,976: INFO  – Updating Generar...
2024-03-05 09:03:50,020: INFO  – success
2024-03-05 09:04:07,916: INFO  – Updating Generar...
2024-03-05 09:04:08,036: INFO  – success
2024-03-05 09:04:44,098: INFO  – Updating Generar...
2024-03-05 09:04:44,262: INFO  – success
2024-03-05 09:04:50,517: INFO  – Updating Generar...
2024-03-05 09:04:50,631: INFO  – success
2024-03-05 09:05:06,838: INFO  – Updating Generar...
2024-03-05 09:05:06,959: INFO  – success
2024-03-05 09:05:14,660: INFO  – Updating Generar...
2024-03-05 09:05:14,758: INFO  – success
2024-03-05 09:05:34,237: INFO  – Updating Generar...
2024-03-05 09:05:34,488: INFO  – success
2024-03-05 09:06:21,982: INFO  – Updating Generar...
2024-03-05 09:06:22,099: INFO  – success
2024-03-05 09:19:59,177: INFO  – Updating Generar...
2024-03-05 09:19:59,346: INFO  – success
2024-03-05 09:29:14,877: INFO  – Processing file 'C:\Program Files (x86)\GeneXus\GeneXus18\Packages\K2BTools\DesignSystemConfigurationWizard\DesignSystemCfg.xml'...
2024-03-05 09:29:15,011: INFO  – Checking Import References...
2024-03-05 09:29:15,028: INFO  – Finished
2024-03-05 09:29:15,042: INFO  – Reading import file objects...
2024-03-05 09:29:15,229: INFO  – Finished
2024-03-05 09:33:18,881: INFO  – ========== Applying changes to the design system started ==========
2024-03-05 09:33:18,965: INFO  – Updating image K2BLogotipo
2024-03-05 09:33:24,024: INFO  – Updating image K2BToolsMainLogo
2024-03-05 09:33:24,126: INFO  – Style K2BTools.DesignSystems.Aries.Aries set as "Theme".
2024-03-05 09:33:24,155: INFO  – Color K2BT_HeaderRight changed for options [color-variant=light, base-color=violet] (#280887->#280887).
2024-03-05 09:33:24,156: INFO  – Color K2BT_HeaderRight changed for options [color-variant=light, base-color=violetflat] (#324048->#324048).
2024-03-05 09:33:24,157: INFO  – Color K2BT_HeaderRight changed for options [color-variant=light, base-color=green] (#35ADB4->#35ADB4).
2024-03-05 09:33:24,158: INFO  – Color K2BT_HeaderRight changed for options [color-variant=light, base-color=skyblue] (#5E94FF->#5E94FF).
2024-03-05 09:33:24,159: INFO  – Color K2BT_HeaderRight changed for options [color-variant=light, base-color=red] (#EF4874->#EF4874).
2024-03-05 09:33:24,159: INFO  – Color K2BT_HeaderRight changed for options [color-variant=dark, base-color=violet] (#324048->#324048).
2024-03-05 09:33:24,160: INFO  – Color K2BT_HeaderRight changed for options [color-variant=dark, base-color=violetflat] (#324048->#324048).
2024-03-05 09:33:24,161: INFO  – Color K2BT_HeaderRight changed for options [color-variant=dark, base-color=green] (#324048->#324048).
2024-03-05 09:33:24,162: INFO  – Color K2BT_HeaderRight changed for options [color-variant=dark, base-color=skyblue] (#324048->#324048).
2024-03-05 09:33:24,163: INFO  – Color K2BT_HeaderRight changed for options [color-variant=dark, base-color=red] (#324048->#324048).
2024-03-05 09:33:24,163: INFO  – Color K2BT_HeaderLeft changed for options [color-variant=light, base-color=violet] (#9A16E8->#9A16E8).
2024-03-05 09:33:24,164: INFO  – Color K2BT_HeaderLeft changed for options [color-variant=light, base-color=violetflat] (#324048->#324048).
2024-03-05 09:33:24,165: INFO  – Color K2BT_HeaderLeft changed for options [color-variant=light, base-color=green] (#35ADB4->#35ADB4).
2024-03-05 09:33:24,168: INFO  – Color K2BT_HeaderLeft changed for options [color-variant=light, base-color=skyblue] (#5E94FF->#5E94FF).
2024-03-05 09:33:24,169: INFO  – Color K2BT_HeaderLeft changed for options [color-variant=light, base-color=red] (#EF4874->#EF4874).
2024-03-05 09:33:24,170: INFO  – Color K2BT_HeaderLeft changed for options [color-variant=dark, base-color=violet] (#324048->#324048).
2024-03-05 09:33:24,171: INFO  – Color K2BT_HeaderLeft changed for options [color-variant=dark, base-color=violetflat] (#324048->#324048).
2024-03-05 09:33:24,171: INFO  – Color K2BT_HeaderLeft changed for options [color-variant=dark, base-color=green] (#324048->#324048).
2024-03-05 09:33:24,172: INFO  – Color K2BT_HeaderLeft changed for options [color-variant=dark, base-color=skyblue] (#324048->#324048).
